Марка,Модель,Год выпуска,Двигатель,Мощность,КПП,Привод,Цвет,Пробег,Руль,Поколение,Комплектация,Цена
Лада,2109,2003,"бензин, 1.5 л","72 л.с., налог",механика,передний,серебристый,224 000,левый,"1 поколение, рестайлинг",0,95000
Лада,2110,2001,"бензин, 1.5 л","71 л.с., налог",механика,передний,синий,160 000,0,1 поколение,1.5 MT 2110,50000
Лада,2114 Самара,2006,"бензин, 1.6 л","120 л.с., налог",механика,передний,черный,100 000,левый,1 поколение,0,65000
Лада,2112,2004,"бензин, 1.5 л","91 л.с., налог",механика,передний,серый,137 674,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,125000
Лада,2115 Самара,2011,"бензин, 1.6 л","81 л.с., налог",механика,передний,серый,90 000,левый,1 поколение,0,240000
Лада,2112,2002,"бензин, 1.5 л","91 л.с., налог",механика,передний,серебристый,200 000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,90000
Лада,2110,2006,"бензин, 1.6 л","89 л.с., налог",механика,передний,серебристый,35 000,0,1 поколение,1.6i MT 21104,110000
Лада,2109,1999,"бензин, 1.5 л","78 л.с., налог",механика,передний,зеленый,300 000,левый,"1 поколение, рестайлинг",1.5i MT Стандарт,50000
Лада,2109,2001,"бензин, 1.5 л","68 л.с., налог",механика,передний,зеленый,185 610,левый,"1 поколение, рестайлинг",0,60000
Лада,2109,1996,"бензин, 1.5 л","70 л.с., налог",механика,передний,бордовый,250 000,левый,"1 поколение, рестайлинг",1.5 MT Люкс,50000
Лада,2114 Самара,2003,"бензин, 1.5 л","77 л.с., налог",механика,передний,серебристый,180 000,левый,1 поколение,1.5 MT Базовая,140000
Лада,2110,2000,"бензин, 1.5 л","92 л.с., налог",механика,передний,0,200 000,0,1 поколение,0,39000
Лада,2112,2005,"бензин, 1.6 л","89 л.с., налог",механика,передний,зеленый,280 000,левый,1 поколение,1.6 MT Базовая 5-дв. 21124,80000
Лада,2114 Самара,2005,"бензин, 1.5 л","77 л.с., налог",механика,передний,серебристый,200 000,левый,1 поколение,1.5 MT Базовая,135000
Лада,2107,2008,0,0,0,0,коричневый,99 000,0,1 поколение,0,91430
Лада,2112,2004,"бензин, 1.5 л","78 л.с., налог",механика,передний,зеленый,277 870,левый,1 поколение,1.5 MT Базовая 5-дв. 21122,65000
