Марка,Модель,Год выпуска,Двигатель,Мощность,КПП,Привод,Цвет,Пробег,Руль,Поколение,Комплектация,Цена
Лада,4x4 2121 Нива,2003,"бензин, 1.7 л","79 л.с., налог",механика,4WD,белый,1,левый,1 поколение,1.7 MT Base,175000
Лада,Гранта,2020,"бензин, 1.6 л","98 л.с., налог",АКПП,передний,серый,27 455,левый,"1 поколение, рестайлинг",0,767000
Лада,Веста,2020,"бензин, 1.6 л","113 л.с., налог",вариатор,передний,белый,20 652,левый,1 поколение,0,1200000
Лада,Калина,2011,"бензин, 1.6 л","98 л.с., налог",механика,передний,серый,226 867,0,1 поколение,0,285500
Лада,Гранта,2016,"бензин, 1.6 л","87 л.с., налог",механика,передний,белый,63 000,левый,1 поколение,0,449000
Лада,Приора,2011,"бензин, 1.6 л","98 л.с., налог",механика,передний,серебристый,130 000,левый,1 поколение,0,289000
Лада,Х-рей,2019,"бензин, 1.6 л","106 л.с., налог",механика,передний,белый,32 000,левый,1 поколение,1.6 МТ Club,949500
Лада,4x4 2121 Нива,2018,"бензин, 1.7 л","83 л.с., налог",механика,4WD,белый,39 556,левый,1 поколение,0,657000
Лада,2115 Самара,2004,"бензин, 1.5 л","76 л.с., налог",механика,передний,серебристый,200 000,левый,1 поколение,1.5i MT Базовая,174000
Лада,2114 Самара,2007,"бензин, 1.6 л","81 л.с., налог",механика,передний,серебристый,150 000,левый,1 поколение,1.6 MT 21144-20-010,100000
Лада,2114 Самара,2010,"бензин, 1.6 л","81 л.с., налог",механика,передний,0,320 000,левый,1 поколение,0,185000
Лада,Нива Пикап,2007,"бензин, 1.7 л","81 л.с., налог",механика,4WD,белый,46 000,левый,1 поколение,1.7 MT 4x4 Pickup,630000
Лада,2109,1999,"бензин, 1.5 л","70 л.с., налог",механика,передний,зеленый,218 800,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,27000
Лада,Приора,2012,"бензин, 1.6 л","87 л.с., налог",механика,передний,синий,151 000,левый,1 поколение,1.6 МТ Стандарт 21702-20-040,295000
Лада,2107,2002,"бензин, 1.5 л","71 л.с., налог",механика,задний,синий,80 000,0,1 поколение,0,85000
Лада,2110,1997,"бензин, 1.5 л","71 л.с., налог",механика,передний,синий,240 000,0,1 поколение,1.5 MT 2110,55000
Лада,2101,1974,"бензин, 1.2 л","59 л.с., налог",механика,задний,зеленый,27 500,правый,1 поколение,0,82000
Лада,Приора,2008,"бензин, 1.6 л","98 л.с., налог",механика,передний,черный,235 000,левый,1 поколение,1.6 MT Норма 21723-01-012,215000
Лада,2114 Самара,2005,"бензин, 1.5 л","77 л.с., налог",механика,передний,серебристый,200 000,левый,1 поколение,1.5 MT Базовая,150000
Лада,4x4 2121 Нива,2001,"бензин, 1.7 л","79 л.с., налог",механика,4WD,белый,149 000,левый,1 поколение,1.7 MT Base,160000
Лада,4x4 2121 Нива,2003,"бензин, 1.7 л","79 л.с., налог",механика,4WD,белый,1,левый,1 поколение,1.7 MT Base,175000
Лада,Гранта,2020,"бензин, 1.6 л","98 л.с., налог",АКПП,передний,серый,27 455,левый,"1 поколение, рестайлинг",0,767000
Лада,Веста,2020,"бензин, 1.6 л","113 л.с., налог",вариатор,передний,белый,20 652,левый,1 поколение,0,1200000
Лада,Калина,2011,"бензин, 1.6 л","98 л.с., налог",механика,передний,серый,226 867,0,1 поколение,0,285500
Лада,Гранта,2016,"бензин, 1.6 л","87 л.с., налог",механика,передний,белый,63 000,левый,1 поколение,0,449000
Лада,Приора,2011,"бензин, 1.6 л","98 л.с., налог",механика,передний,серебристый,130 000,левый,1 поколение,0,289000
Лада,Х-рей,2019,"бензин, 1.6 л","106 л.с., налог",механика,передний,белый,32 000,левый,1 поколение,1.6 МТ Club,949500
Лада,4x4 2121 Нива,2018,"бензин, 1.7 л","83 л.с., налог",механика,4WD,белый,39 556,левый,1 поколение,0,657000
Лада,2115 Самара,2004,"бензин, 1.5 л","76 л.с., налог",механика,передний,серебристый,200 000,левый,1 поколение,1.5i MT Базовая,174000
Лада,2114 Самара,2007,"бензин, 1.6 л","81 л.с., налог",механика,передний,серебристый,150 000,левый,1 поколение,1.6 MT 21144-20-010,100000
Лада,2114 Самара,2010,"бензин, 1.6 л","81 л.с., налог",механика,передний,0,320 000,левый,1 поколение,0,185000
Лада,Нива Пикап,2007,"бензин, 1.7 л","81 л.с., налог",механика,4WD,белый,46 000,левый,1 поколение,1.7 MT 4x4 Pickup,630000
Лада,2109,1999,"бензин, 1.5 л","70 л.с., налог",механика,передний,зеленый,218 800,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,27000
Лада,Приора,2012,"бензин, 1.6 л","87 л.с., налог",механика,передний,синий,151 000,левый,1 поколение,1.6 МТ Стандарт 21702-20-040,295000
Лада,2107,2002,"бензин, 1.5 л","71 л.с., налог",механика,задний,синий,80 000,0,1 поколение,0,85000
Лада,2110,1997,"бензин, 1.5 л","71 л.с., налог",механика,передний,синий,240 000,0,1 поколение,1.5 MT 2110,55000
Лада,2101,1974,"бензин, 1.2 л","59 л.с., налог",механика,задний,зеленый,27 500,правый,1 поколение,0,82000
Лада,Приора,2008,"бензин, 1.6 л","98 л.с., налог",механика,передний,черный,235 000,левый,1 поколение,1.6 MT Норма 21723-01-012,215000
Лада,2114 Самара,2005,"бензин, 1.5 л","77 л.с., налог",механика,передний,серебристый,200 000,левый,1 поколение,1.5 MT Базовая,150000
Лада,4x4 2121 Нива,2001,"бензин, 1.7 л","79 л.с., налог",механика,4WD,белый,149 000,левый,1 поколение,1.7 MT Base,160000
Лада,2106,1987,"бензин, 1.3 л","64 л.с., налог",механика,задний,белый,87 000,левый,1 поколение,1.3 MT 21063,48000
Лада,Приора,2011,"бензин, 1.6 л","98 л.с., налог",механика,передний,черный,167 830,левый,1 поколение,1.6 MT Норма 21723-01-011,270000
Лада,2109,1998,"бензин, 1.5 л","70 л.с., налог",механика,передний,голубой,125 611,левый,"1 поколение, рестайлинг",1.5 MT Люкс,60000
Лада,21099,2000,"бензин, 1.5 л","70 л.с., налог",механика,передний,розовый,160 000,левый,1 поколение,1.5 MT 21099-02 Люкс,80000
Лада,Веста Кросс,2019,"бензин, 1.6 л","113 л.с., налог",вариатор,передний,серый,63 000,левый,1 поколение,1.6 CVT Comfort + пакет Image,1160000
Лада,Калина,2008,"бензин, 1.4 л","89 л.с., налог",механика,передний,золотистый,78 000,0,1 поколение,1.4 MT 11184-33-016 Люкс,230000
Лада,Ларгус,2019,"бензин, 1.6 л","106 л.с., налог",механика,передний,белый,183 000,левый,1 поколение,1.6 MT Luxe Prestige 5 мест,745000
Лада,2115 Самара,2006,"бензин, 1.5 л","76 л.с., налог",механика,передний,серый,100 000,левый,1 поколение,1.5i MT Базовая,105000
Лада,2115 Самара,2007,"бензин, 1.5 л","76 л.с., налог",механика,передний,черный,230 000,левый,1 поколение,1.5i MT Базовая,122000
Лада,2106,1988,"бензин, 1.3 л","64 л.с., налог",механика,задний,бежевый,80 000,левый,1 поколение,1.3 MT 21063,43000
Лада,2107,2004,"бензин, 1.6 л","74 л.с., налог",механика,задний,белый,124 000,0,1 поколение,0,52000
Лада,Приора,2012,"бензин, 1.6 л","98 л.с., налог",механика,передний,серебристый,135 000,левый,1 поколение,0,260000
Лада,2112,2003,"бензин, 1.5 л","91 л.с., налог",механика,передний,серебристый,398 000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,115000
Лада,2107,2007,"бензин, 1.6 л","74 л.с., налог",механика,задний,бордовый,20 700,0,1 поколение,0,150000
Лада,2114 Самара,2010,"бензин, 1.6 л","80 л.с., налог",механика,передний,серый,25 000,левый,1 поколение,0,120000
Лада,2107,2001,"бензин, 1.6 л","74 л.с., налог",механика,задний,бордовый,77 675,0,1 поколение,1.6 MT 21074-30-011,77000
Лада,2104,1997,"бензин, 1.5 л","71 л.с., налог",механика,задний,черный,100 000,левый,1 поколение,0,68000
Лада,Веста,2019,"бензин, 1.8 л","122 л.с., налог",робот,передний,серебристый,31 000,левый,1 поколение,0,820000
Лада,Веста Кросс,2018,"бензин, 1.8 л","122 л.с., налог",робот,передний,бежевый,84 000,левый,1 поколение,0,880000
Лада,4x4 2121 Нива,2020,"бензин, 1.7 л","83 л.с., налог",механика,4WD,коричневый,40 000,левый,"1 поколение, рестайлинг",0,780000
Лада,Веста,2018,"бензин, 1.6 л","106 л.с., налог",механика,передний,серый,45 000,левый,1 поколение,0,760000
Лада,Гранта,2020,"бензин, 1.6 л","87 л.с., налог",механика,передний,коричневый,53 000,левый,"1 поколение, рестайлинг",0,560000
Лада,Х-рей,2021,"бензин, 1.6 л","106 л.с., налог",механика,передний,коричневый,20 000,левый,1 поколение,0,945000
Лада,Х-рей,2021,"бензин, 1.6 л","106 л.с., налог",механика,передний,белый,13 000,левый,1 поколение,0,965000
Лада,Веста Кросс,2018,"бензин, 1.8 л","122 л.с., налог",робот,передний,коричневый,19 903,левый,1 поколение,0,985000
Лада,Калина,2015,"бензин, 1.6 л","98 л.с., налог",АКПП,передний,серый,81 254,0,2 поколение,0,527000
Лада,Калина,2017,"бензин, 1.6 л","106 л.с., налог",механика,передний,серебристый,76 000,0,2 поколение,0,555000
Лада,4x4 2121 Нива,2018,"бензин, 1.7 л","83 л.с., налог",механика,4WD,черный,24 000,левый,1 поколение,0,677000
Лада,4x4 2121 Нива,2014,"бензин, 1.7 л","83 л.с., налог",механика,4WD,белый,109 000,левый,1 поколение,1.7 MT,400000
Лада,2114 Самара,2012,"бензин, 1.6 л","81 л.с., налог",механика,передний,черный,119 452,левый,1 поколение,0,120000
Лада,2106,1992,"бензин, 1.6 л","64 л.с., налог",механика,задний,0,45 000,правый,0,0,35000
Лада,2107,2007,"бензин, 1.6 л","74 л.с., налог",механика,задний,зеленый,226 000,0,1 поколение,1.6 MT 21074-40-013,100000
Лада,2101,1974,"бензин, 1.3 л, ГБО","64 л.с., налог",механика,задний,серебристый,23 998,левый,1 поколение,1.3 MT 21011,36000
Лада,2106,1997,"бензин, 1.6 л","75 л.с., налог",механика,задний,белый,71 809,левый,1 поколение,1.6 MT5 2106,40000
Лада,2109,2002,"бензин, 1.5 л","78 л.с., налог",механика,передний,голубой,170 546,левый,"1 поколение, рестайлинг",1.5i MT Люкс,83000
