,Mark,Model,Year,Oil,Volume,Power,GSB,Drive,Color,Kilometers,Wheel,Generation,Complectation,Price
0,Лада,4x4 2121 Нива,2003,бензин,1.7,79,механика,4WD,белый,1,левый,1 поколение,1.7 MT Base,175000
1,Лада,Гранта,2020,бензин,1.6,98,АКПП,передний,серый,27455,левый,"1 поколение, рестайлинг",0,767000
2,Лада,Веста,2020,бензин,1.6,113,вариатор,передний,белый,20652,левый,1 поколение,0,1200000
3,Лада,Калина,2011,бензин,1.6,98,механика,передний,серый,226867,0,1 поколение,0,285500
4,Лада,Гранта,2016,бензин,1.6,87,механика,передний,белый,63000,левый,1 поколение,0,449000
5,Лада,Приора,2011,бензин,1.6,98,механика,передний,серебристый,130000,левый,1 поколение,0,289000
6,Лада,Х-рей,2019,бензин,1.6,106,механика,передний,белый,32000,левый,1 поколение,1.6 МТ Club,949500
7,Лада,4x4 2121 Нива,2018,бензин,1.7,83,механика,4WD,белый,39556,левый,1 поколение,0,657000
8,Лада,2115 Самара,2004,бензин,1.5,76,механика,передний,серебристый,200000,левый,1 поколение,1.5i MT Базовая,174000
9,Лада,2114 Самара,2007,бензин,1.6,81,механика,передний,серебристый,150000,левый,1 поколение,1.6 MT 21144-20-010,100000
10,Лада,2114 Самара,2010,бензин,1.6,81,механика,передний,0,320000,левый,1 поколение,0,185000
11,Лада,Нива Пикап,2007,бензин,1.7,81,механика,4WD,белый,46000,левый,1 поколение,1.7 MT 4x4 Pickup,630000
12,Лада,2109,1999,бензин,1.5,70,механика,передний,зеленый,218800,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,27000
13,Лада,Приора,2012,бензин,1.6,87,механика,передний,синий,151000,левый,1 поколение,1.6 МТ Стандарт 21702-20-040,295000
14,Лада,2107,2002,бензин,1.5,71,механика,задний,синий,80000,0,1 поколение,0,85000
15,Лада,2110,1997,бензин,1.5,71,механика,передний,синий,240000,0,1 поколение,1.5 MT 2110,55000
16,Лада,2101,1974,бензин,1.2,59,механика,задний,зеленый,27500,правый,1 поколение,0,82000
17,Лада,Приора,2008,бензин,1.6,98,механика,передний,черный,235000,левый,1 поколение,1.6 MT Норма 21723-01-012,215000
18,Лада,2114 Самара,2005,бензин,1.5,77,механика,передний,серебристый,200000,левый,1 поколение,1.5 MT Базовая,150000
19,Лада,4x4 2121 Нива,2001,бензин,1.7,79,механика,4WD,белый,149000,левый,1 поколение,1.7 MT Base,160000
20,Лада,4x4 2121 Нива,2003,бензин,1.7,79,механика,4WD,белый,1,левый,1 поколение,1.7 MT Base,175000
21,Лада,Гранта,2020,бензин,1.6,98,АКПП,передний,серый,27455,левый,"1 поколение, рестайлинг",0,767000
22,Лада,Веста,2020,бензин,1.6,113,вариатор,передний,белый,20652,левый,1 поколение,0,1200000
23,Лада,Калина,2011,бензин,1.6,98,механика,передний,серый,226867,0,1 поколение,0,285500
24,Лада,Гранта,2016,бензин,1.6,87,механика,передний,белый,63000,левый,1 поколение,0,449000
25,Лада,Приора,2011,бензин,1.6,98,механика,передний,серебристый,130000,левый,1 поколение,0,289000
