,Model,Year,Oil,Volume,Power,GSB,Drive,Color,Kilometers,Wheel,Generation,Complectation,Price,Pred_Price
0,4x4 2121 Нива,2003,бензин,1.7,79,механика,4WD,белый,1,левый,1 поколение,1.7 MT Base,175000,243897.32801818848
6,Х-рей,2019,бензин,1.6,106,механика,передний,белый,32000,левый,1 поколение,1.6 МТ Club,949500,949495.1178741455
8,2115 Самара,2004,бензин,1.5,76,механика,передний,серебристый,200000,левый,1 поколение,1.5i MT Базовая,174000,95055.64457702637
9,2114 Самара,2007,бензин,1.6,81,механика,передний,серебристый,150000,левый,1 поколение,1.6 MT 21144-20-010,100000,127784.70738220215
11,Нива Пикап,2007,бензин,1.7,81,механика,4WD,белый,46000,левый,1 поколение,1.7 MT 4x4 Pickup,630000,630006.2208251953
12,2109,1999,бензин,1.5,70,механика,передний,зеленый,218800,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,27000,52853.252029418945
13,Приора,2012,бензин,1.6,87,механика,передний,синий,151000,левый,1 поколение,1.6 МТ Стандарт 21702-20-040,295000,262515.2264404297
17,Приора,2008,бензин,1.6,98,механика,передний,черный,235000,левый,1 поколение,1.6 MT Норма 21723-01-012,215000,214999.74809265137
18,2114 Самара,2005,бензин,1.5,77,механика,передний,серебристый,200000,левый,1 поколение,1.5 MT Базовая,150000,102837.20988464355
19,4x4 2121 Нива,2001,бензин,1.7,79,механика,4WD,белый,149000,левый,1 поколение,1.7 MT Base,160000,205094.10076904297
20,4x4 2121 Нива,2003,бензин,1.7,79,механика,4WD,белый,1,левый,1 поколение,1.7 MT Base,175000,243897.32801818848
26,Х-рей,2019,бензин,1.6,106,механика,передний,белый,32000,левый,1 поколение,1.6 МТ Club,949500,949495.1178741455
28,2115 Самара,2004,бензин,1.5,76,механика,передний,серебристый,200000,левый,1 поколение,1.5i MT Базовая,174000,95055.64457702637
29,2114 Самара,2007,бензин,1.6,81,механика,передний,серебристый,150000,левый,1 поколение,1.6 MT 21144-20-010,100000,127784.70738220215
31,Нива Пикап,2007,бензин,1.7,81,механика,4WD,белый,46000,левый,1 поколение,1.7 MT 4x4 Pickup,630000,630006.2208251953
32,2109,1999,бензин,1.5,70,механика,передний,зеленый,218800,левый,"1 поколение, рестайлинг",1.5 MT Стандарт,27000,52853.252029418945
33,Приора,2012,бензин,1.6,87,механика,передний,синий,151000,левый,1 поколение,1.6 МТ Стандарт 21702-20-040,295000,262515.2264404297
37,Приора,2008,бензин,1.6,98,механика,передний,черный,235000,левый,1 поколение,1.6 MT Норма 21723-01-012,215000,214999.74809265137
38,2114 Самара,2005,бензин,1.5,77,механика,передний,серебристый,200000,левый,1 поколение,1.5 MT Базовая,150000,102837.20988464355
39,4x4 2121 Нива,2001,бензин,1.7,79,механика,4WD,белый,149000,левый,1 поколение,1.7 MT Base,160000,205094.10076904297
40,2106,1987,бензин,1.3,64,механика,задний,белый,87000,левый,1 поколение,1.3 MT 21063,48000,23171.031463623047
41,Приора,2011,бензин,1.6,98,механика,передний,черный,167830,левый,1 поколение,1.6 MT Норма 21723-01-011,270000,247827.66911315918
42,2109,1998,бензин,1.5,70,механика,передний,голубой,125611,левый,"1 поколение, рестайлинг",1.5 MT Люкс,60000,64678.65478515625
43,21099,2000,бензин,1.5,70,механика,передний,розовый,160000,левый,1 поколение,1.5 MT 21099-02 Люкс,80000,80001.26832580566
44,Веста Кросс,2019,бензин,1.6,113,вариатор,передний,серый,63000,левый,1 поколение,1.6 CVT Comfort + пакет Image,1160000,1159994.0235290527
46,Ларгус,2019,бензин,1.6,106,механика,передний,белый,183000,левый,1 поколение,1.6 MT Luxe Prestige 5 мест,745000,744996.1669464111
47,2115 Самара,2006,бензин,1.5,76,механика,передний,серый,100000,левый,1 поколение,1.5i MT Базовая,105000,142124.47067260742
48,2115 Самара,2007,бензин,1.5,76,механика,передний,черный,230000,левый,1 поколение,1.5i MT Базовая,122000,124790.15998840332
49,2106,1988,бензин,1.3,64,механика,задний,бежевый,80000,левый,1 поколение,1.3 MT 21063,43000,62831.45881652832
52,2112,2003,бензин,1.5,91,механика,передний,серебристый,398000,левый,1 поколение,1.5 MT Базовая 5-дв. 2112,115000,52498.28256225586
68,4x4 2121 Нива,2014,бензин,1.7,83,механика,4WD,белый,109000,левый,1 поколение,1.7 MT,400000,338722.47283935547
72,2101,1974,бензин,1.3,64,механика,задний,серебристый,23998,левый,1 поколение,1.3 MT 21011,36000,48261.572204589844
73,2106,1997,бензин,1.6,75,механика,задний,белый,71809,левый,1 поколение,1.6 MT5 2106,40000,50982.21839904785
74,2109,2002,бензин,1.5,78,механика,передний,голубой,170546,левый,"1 поколение, рестайлинг",1.5i MT Люкс,83000,76065.86422729492
75,2114 Самара,2006,бензин,1.6,80,механика,передний,зеленый,999,левый,1 поколение,1.6 MT Базовая,80000,150195.6106109619
83,2106,1998,бензин,1.6,75,механика,задний,белый,67067,левый,1 поколение,1.6 MT5 2106,105000,59547.54426574707
85,Нива Легенд,2021,бензин,1.7,83,механика,4WD,голубой,2097,левый,1 поколение,1.7 MT Urban,1050000,1050003.3479614258
93,Х-рей Кросс,2019,бензин,1.8,122,механика,передний,белый,47000,левый,1 поколение,1.8 MT Luxe + пакет Prestige,960000,1040215.9047088623
95,2106,2001,бензин,1.6,75,механика,задний,зеленый,100000,левый,1 поколение,1.6 MT4 2106,68000,113303.18536376953
102,Нива Тревел,2021,бензин,1.7,80,механика,4WD,серый,20500,левый,1 поколение,1.7 MT Luxe / Off-road,1145000,1181703.7874450684
103,4x4 2131 Нива,2016,бензин,1.7,83,механика,4WD,серебристый,88000,левый,1 поколение,1.7 MT Стандарт,420000,374747.4260559082
107,2114 Самара,2010,бензин,1.6,81,механика,передний,черный,79800,левый,1 поколение,1.6 MT 21144-22-010,325000,210891.6608428955
108,4x4 2121 Нива,2004,бензин,1.7,79,механика,4WD,синий,110000,левый,1 поколение,1.7 MT,200000,225952.55989074707
110,4x4 2121 Нива,2002,бензин,1.7,79,механика,4WD,белый,134248,левый,1 поколение,1.7 MT Base,300000,215214.40267944336
114,2104,1995,бензин,1.5,71,механика,задний,красный,25000,левый,1 поколение,1.5 MT 21041 VF,33000,15051.462295532227
